epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0057,1.77656,3.56658,1.69548,0.30022,0.19727,0.25704,0.1358,1.70264,3.13172,1.60712,0.000469896,0.000469896,0.000469896
2,49.6132,1.70658,2.99228,1.67708,0.25926,0.41865,0.26202,0.12146,2.02093,2.75358,1.76247,0.000941546,0.000941546,0.000941546
3,73.0488,1.7505,2.8284,1.72345,0.26307,0.24278,0.21471,0.10492,1.92097,2.85435,1.85176,0.00140848,0.00140848,0.00140848
4,96.0006,1.74734,2.61237,1.67754,0.35283,0.39662,0.28727,0.16286,1.82936,2.53778,1.80545,0.00140778,0.00140778,0.00140778
5,118.462,1.69885,2.40278,1.69078,0.41769,0.48453,0.35439,0.17286,1.83221,2.20518,1.74191,0.00140071,0.00140071,0.00140071
6,141.033,1.71669,2.34481,1.67532,0.34729,0.54431,0.33533,0.19646,1.70252,2.05808,1.63268,0.00139363,0.00139363,0.00139363
7,163.678,1.66481,2.21069,1.64789,0.47135,0.62551,0.47401,0.28466,1.7104,2.01525,1.63498,0.00138656,0.00138656,0.00138656
8,186.308,1.58597,2.11347,1.6115,0.40755,0.53599,0.40522,0.25085,1.66596,1.98544,1.65536,0.00137949,0.00137949,0.00137949
9,209.004,1.62183,2.08625,1.61656,0.43461,0.61392,0.47945,0.29465,1.71161,1.89844,1.65488,0.00137241,0.00137241,0.00137241
10,232.104,1.62165,2.0267,1.60498,0.37495,0.41677,0.39492,0.23623,1.72162,2.08947,1.63729,0.00136534,0.00136534,0.00136534
11,255.126,1.57736,1.95903,1.56885,0.5973,0.57931,0.55479,0.35676,1.5393,1.71658,1.54474,0.00135826,0.00135826,0.00135826
12,278.119,1.53319,1.89491,1.54152,0.45626,0.55309,0.43129,0.27074,1.60972,1.82331,1.61068,0.00135119,0.00135119,0.00135119
13,300.776,1.52842,1.87239,1.55525,0.44003,0.69674,0.4363,0.27113,1.66011,1.7273,1.60624,0.00134412,0.00134412,0.00134412
14,322.918,1.53373,1.82767,1.54178,0.35274,0.60053,0.44023,0.25909,1.63303,1.79054,1.55951,0.00133704,0.00133704,0.00133704
15,344.766,1.51314,1.83158,1.51431,0.48213,0.7273,0.5011,0.27129,1.72692,1.70585,1.6204,0.00132997,0.00132997,0.00132997
16,366.57,1.47199,1.72874,1.49397,0.46554,0.6065,0.51342,0.27257,1.86871,1.77734,1.74626,0.0013229,0.0013229,0.0013229
17,388.374,1.4899,1.7602,1.50711,0.44007,0.59184,0.48249,0.26816,1.71313,1.81719,1.62334,0.00131582,0.00131582,0.00131582
18,410.201,1.47699,1.72263,1.49756,0.43536,0.64439,0.49684,0.30545,1.64391,1.78326,1.59496,0.00130875,0.00130875,0.00130875
19,431.936,1.45577,1.71761,1.48156,0.54345,0.62169,0.52461,0.32139,1.63299,1.59789,1.5837,0.00130168,0.00130168,0.00130168
20,453.817,1.4738,1.75217,1.50616,0.42603,0.65612,0.45834,0.28898,1.61062,1.6491,1.54954,0.0012946,0.0012946,0.0012946
21,475.665,1.44053,1.6514,1.46973,0.45742,0.59388,0.53055,0.30546,1.66325,1.67964,1.6297,0.00128753,0.00128753,0.00128753
22,497.587,1.4525,1.64018,1.47913,0.62531,0.5767,0.58703,0.35706,1.7039,1.5296,1.58479,0.00128046,0.00128046,0.00128046
23,519.565,1.45819,1.63957,1.46935,0.47308,0.59162,0.55889,0.34253,1.69789,1.58875,1.61872,0.00127338,0.00127338,0.00127338
24,541.821,1.44712,1.63026,1.4711,0.67464,0.56016,0.63159,0.40947,1.56053,1.49972,1.54633,0.00126631,0.00126631,0.00126631
25,564.886,1.41136,1.62699,1.46097,0.55567,0.71263,0.61551,0.35925,1.69353,1.51594,1.60757,0.00125923,0.00125923,0.00125923
26,587.805,1.40343,1.55696,1.43067,0.70163,0.60937,0.64421,0.4105,1.65411,1.58346,1.58531,0.00125216,0.00125216,0.00125216
