epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,610.717,1.37749,1.55875,1.43879,0.58272,0.6305,0.54292,0.33215,1.69797,1.68133,1.62075,0.00124509,0.00124509,0.00124509
28,633.684,1.40019,1.50333,1.4483,0.62924,0.59745,0.61565,0.39752,1.60578,1.58356,1.60966,0.00123801,0.00123801,0.00123801
29,656.643,1.37398,1.49392,1.4477,0.58993,0.68232,0.66355,0.44665,1.52593,1.45692,1.51249,0.00123094,0.00123094,0.00123094
30,679.752,1.38155,1.50795,1.43912,0.65998,0.53915,0.57373,0.38071,1.57087,1.60457,1.56841,0.00122387,0.00122387,0.00122387
31,702.829,1.37529,1.47013,1.44154,0.62568,0.57458,0.60578,0.39906,1.60097,1.56108,1.58659,0.00121679,0.00121679,0.00121679
32,725.961,1.41115,1.52198,1.47331,0.73167,0.52654,0.62607,0.41174,1.56232,1.54828,1.57787,0.00120972,0.00120972,0.00120972
33,748.704,1.36352,1.43183,1.41815,0.63253,0.64345,0.61789,0.39926,1.68792,1.67885,1.61138,0.00120265,0.00120265,0.00120265
34,771.174,1.34426,1.35005,1.40139,0.73633,0.58349,0.6273,0.39437,1.73763,1.54582,1.71484,0.00119557,0.00119557,0.00119557
35,793.657,1.34887,1.41064,1.40943,0.59876,0.61814,0.59288,0.40677,1.51384,1.68435,1.54034,0.0011885,0.0011885,0.0011885
36,816.093,1.34569,1.3332,1.40489,0.61433,0.69341,0.6159,0.38535,1.7306,1.51021,1.64348,0.00118143,0.00118143,0.00118143
37,838.571,1.32394,1.31599,1.37728,0.60193,0.66775,0.66592,0.43395,1.65301,1.42136,1.63796,0.00117435,0.00117435,0.00117435
38,861.12,1.34003,1.35923,1.40079,0.675,0.59495,0.64418,0.43861,1.59194,1.4788,1.58971,0.00116728,0.00116728,0.00116728
39,883.747,1.32667,1.33884,1.3843,0.65165,0.50341,0.59155,0.39716,1.60803,1.52887,1.65367,0.00116021,0.00116021,0.00116021
40,906.395,1.30061,1.28589,1.3767,0.61834,0.59486,0.6062,0.39534,1.58231,1.47054,1.61272,0.00115313,0.00115313,0.00115313
41,929.032,1.30036,1.29761,1.37668,0.50993,0.65177,0.51833,0.34048,1.6327,1.53902,1.61307,0.00114606,0.00114606,0.00114606
42,951.841,1.31993,1.29514,1.38545,0.6089,0.63826,0.60592,0.40077,1.63654,1.48073,1.60563,0.00113898,0.00113898,0.00113898
43,974.2,1.33145,1.29938,1.38948,0.63775,0.627,0.66703,0.47413,1.57934,1.40841,1.63282,0.00113191,0.00113191,0.00113191
44,996.467,1.29561,1.28352,1.37205,0.57455,0.66783,0.66312,0.4435,1.54961,1.44941,1.53871,0.00112484,0.00112484,0.00112484
45,1018.83,1.29318,1.26103,1.36827,0.56779,0.72932,0.64509,0.40255,1.71737,1.39734,1.66436,0.00111776,0.00111776,0.00111776
46,1041.3,1.28212,1.21459,1.35558,0.74434,0.53827,0.66176,0.43565,1.66562,1.43494,1.6685,0.00111069,0.00111069,0.00111069
47,1063.86,1.27553,1.22991,1.35553,0.7528,0.60228,0.66892,0.44897,1.62688,1.38084,1.66873,0.00110362,0.00110362,0.00110362
48,1086.55,1.26642,1.21912,1.34405,0.58607,0.55735,0.52162,0.3485,1.57374,1.59825,1.60615,0.00109654,0.00109654,0.00109654
49,1109.07,1.26165,1.19974,1.34536,0.62495,0.57713,0.62519,0.36932,1.92902,1.58996,1.78523,0.00108947,0.00108947,0.00108947
50,1131.7,1.25348,1.16938,1.33271,0.60027,0.74725,0.69195,0.48025,1.5565,1.3898,1.5773,0.0010824,0.0010824,0.0010824
51,1154.25,1.25197,1.173,1.33717,0.69805,0.50142,0.57818,0.39616,1.54314,1.61883,1.58603,0.00107532,0.00107532,0.00107532
52,1177.02,1.23547,1.1756,1.33852,0.59349,0.63217,0.63201,0.43413,1.51476,1.47113,1.52734,0.00106825,0.00106825,0.00106825
53,1199.65,1.23759,1.18368,1.33158,0.76117,0.53267,0.62495,0.43715,1.49424,1.45355,1.56718,0.00106118,0.00106118,0.00106118
54,1222.42,1.18433,1.10567,1.29291,0.75608,0.53404,0.64985,0.4393,1.5658,1.37243,1.60594,0.0010541,0.0010541,0.0010541
55,1245.17,1.21136,1.11271,1.30505,0.65137,0.58045,0.60439,0.41995,1.5802,1.55988,1.54243,0.00104703,0.00104703,0.00104703
56,1267.65,1.22138,1.13792,1.30707,0.65706,0.58834,0.55776,0.38876,1.52659,1.64268,1.58936,0.00103995,0.00103995,0.00103995
57,1290.2,1.19894,1.11266,1.31266,0.73506,0.5714,0.62295,0.42193,1.61204,1.48597,1.67264,0.00103288,0.00103288,0.00103288
58,1312.87,1.2114,1.10633,1.30443,0.64461,0.63127,0.58206,0.41242,1.60469,1.6803,1.65555,0.00102581,0.00102581,0.00102581
59,1335.54,1.18827,1.095,1.29402,0.68916,0.65259,0.65865,0.45552,1.53696,1.43027,1.5522,0.00101873,0.00101873,0.00101873
60,1358.24,1.17989,1.08214,1.29049,0.69359,0.545,0.59041,0.39754,1.4956,1.58375,1.5432,0.00101166,0.00101166,0.00101166
61,1381.11,1.2008,1.08246,1.29284,0.71329,0.57288,0.62627,0.4163,1.6228,1.48533,1.64006,0.00100459,0.00100459,0.00100459
62,1403.79,1.20543,1.06716,1.29238,0.5161,0.56846,0.60355,0.44002,1.53145,1.62895,1.58044,0.000997513,0.000997513,0.000997513
63,1426.67,1.17048,1.08934,1.29281,0.64666,0.63361,0.60913,0.42711,1.49047,1.54841,1.5745,0.00099044,0.00099044,0.00099044
64,1449.49,1.16571,1.05993,1.28008,0.62011,0.55923,0.58834,0.39818,1.57176,1.58335,1.63092,0.000983366,0.000983366,0.000983366
65,1472.3,1.14569,1.02449,1.25482,0.73206,0.59138,0.67277,0.45871,1.5771,1.43894,1.62113,0.000976293,0.000976293,0.000976293
66,1495.23,1.14937,1.04309,1.27055,0.62847,0.59481,0.60861,0.41825,1.63588,1.44627,1.66976,0.000969219,0.000969219,0.000969219
67,1518.15,1.1461,1.01567,1.26329,0.60067,0.64973,0.62883,0.44572,1.55372,1.50283,1.63538,0.000962146,0.000962146,0.000962146
68,1540.83,1.1523,1.02181,1.26578,0.73726,0.50929,0.62513,0.43846,1.55663,1.5033,1.574,0.000955072,0.000955072,0.000955072
69,1563.27,1.13233,0.98683,1.2512,0.79121,0.5715,0.63192,0.43128,1.54747,1.43419,1.57976,0.000947999,0.000947999,0.000947999
70,1585.88,1.15292,1.01828,1.26,0.70077,0.60876,0.65054,0.4515,1.56288,1.41639,1.59174,0.000940925,0.000940925,0.000940925
